Vehicle Model,Oil Change Interval,Tire Rotation Schedule,Brake Inspection Frequency,Warranty Details
Ford Mondeo,"12000-16000 km (normal driving)","Every 12000 km","Every 16000-24000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Mustang,"8000-12000 km (performance driving)","Every 8000-12000 km","Every 12000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Bronco,"8000-12000 km (off-road usage)","Every 8000 km","Every 12000-16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Bronco New Energy,"No oil change required","Every 16000 km","Every 24000-30000 km","3-year bumper-to-bumper warranty; 8-year battery warranty"
Ford Bronco Sport,"12000 km","Every 8000-12000 km","Every 16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Capri EV,"No oil change required","Every 16000 km","Every 24000-30000 km","3-year bumper-to-bumper warranty; 8-year battery warranty"
Ford Edge,"12000-16000 km","Every 12000 km","Every 16000-24000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Equator,"12000-16000 km","Every 12000 km","Every 16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Escape,"12000-16000 km (hybrid optimized)","Every 8000-12000 km","Every 24000 km","3-year bumper-to-bumper warranty; 8-year hybrid component warranty"
Ford Kuga,"12000-16000 km","Every 12000 km","Every 24000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Everest,"8000-12000 km (diesel heavy load)","Every 8000 km","Every 16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Expedition,"12000-16000 km","Every 12000 km","Every 16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Explorer,"12000-16000 km","Every 12000 km","Every 16000-24000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Explorer EV,"No oil change required","Every 16000 km","Every 24000-30000 km","3-year bumper-to-bumper warranty; 8-year battery warranty"
Ford Mondeo Sport,"12000 km (turbo engine)","Every 8000-12000 km","Every 16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Mustang Mach-E,"No oil change required","Every 16000 km","Every 24000-30000 km","3-year bumper-to-bumper warranty; 8-year battery warranty"
Ford Puma,"16000-20000 km (city usage)","Every 12000 km","Every 24000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Puma Gen-E,"No oil change required","Every 16000 km","Every 24000-30000 km","3-year bumper-to-bumper warranty; 8-year battery warranty"
Ford Territory,"12000-16000 km","Every 12000 km","Every 16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford F-Series,"8000-12000 km (towing/heavy-duty)","Every 8000 km","Every 12000-16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Ranger,"8000-12000 km (off-road/towing)","Every 8000 km","Every 16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford Maverick,"16000 km (hybrid system)","Every 12000-16000 km","Every 24000 km","3-year bumper-to-bumper warranty; 8-year hybrid component warranty"
Ford Transit (Pickup),"16000 km (commercial usage)","Every 12000 km","Every 16000 km","3-year/60000 km warranty; 5-year powertrain warranty"
Ford Tourneo Courier,"16000-20000 km","Every 12000 km","Every 24000 km","3-year/100000 km warranty; 5-year powertrain warranty"
Ford Tourneo Connect,"16000-20000 km","Every 12000 km","Every 24000 km","3-year/100000 km warranty; 5-year powertrain warranty"
Ford Tourneo Custom,"16000-20000 km","Every 12000 km","Every 20000-24000 km","3-year/100000 km warranty; 5-year powertrain warranty"
Ford Transit City,"16000 km (light commercial)","Every 12000 km","Every 20000 km","3-year commercial warranty; 5-year powertrain warranty"
Ford Transit Courier,"16000 km","Every 12000 km","Every 20000-24000 km","3-year commercial warranty; 5-year powertrain warranty"
Ford Transit Connect,"16000 km","Every 12000 km","Every 20000-24000 km","3-year commercial warranty; 5-year powertrain warranty"
Ford Transit Custom,"16000 km","Every 12000 km","Every 20000 km","3-year commercial warranty; 5-year powertrain warranty"
Ford Transit,"16000 km (fleet usage)","Every 12000 km","Every 16000-20000 km","3-year commercial warranty; 5-year powertrain warranty"
Ford F-MAX,"24000 km (long-haul diesel)","Every 16000 km","Every 20000-24000 km","3-year commercial warranty; extended drivetrain coverage"
Ford Transit Cutaway,"16000 km","Every 12000 km","Every 16000-20000 km","3-year commercial warranty; 5-year powertrain warranty"
Ford E-Series Cutaway,"12000 km","Every 8000-12000 km","Every 16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"
Ford F-Series (Medium Duty),"24000 km (industrial usage)","Every 16000 km","Every 20000-24000 km","3-year commercial warranty; extended drivetrain coverage"
Ford Super Duty,"12000 km (heavy towing)","Every 12000 km","Every 16000 km","3-year bumper-to-bumper warranty; 5-year powertrain warranty"